Date,Country,Population,Total Tests,Total Cases,Total Deaths,Total Recovered,Serious or Critical,Active Cases
2020-04-18,Finland,5539729,55600,3681,90,1700,70,1891
2020-04-18,Nigeria,205486161,7153,542,19,166,2,357
2020-04-18,Moldova,4035024,9848,2351,57,391,80,1903
2020-04-18,Ghana,30991423,60916,834,9,99,4,726
2020-04-18,Oman,5089968,,1180,6,176,3,998
2020-04-18,Armenia,2962604,11796,1248,20,523,30,705
2020-04-18,Bolivia,11653648,3569,493,31,31,3,431
2020-04-18,Luxembourg,624724,33252,3537,72,601,32,2864
2020-04-18,Iraq,40108260,53955,1513,82,953,,478
2020-04-18,Hungary,9663123,43901,1834,172,231,60,1431
2020-04-18,Cameroon,26461313,,1017,42,305,33,670
2020-04-18,Azerbaijan,10128288,86607,1373,18,590,21,765
2020-04-18,Thailand,69779718,100498,2733,47,1787,61,899
2020-04-18,Greece,10428746,53290,2235,110,269,67,1856
2020-04-18,Guinea,13086759,,518,3,65,,450
2020-04-18,Uzbekistan,33409960,136000,1490,5,194,8,1291
2020-04-18,Honduras,9885245,2396,457,46,10,10,401
2020-04-18,Sudan,43719159,,66,10,6,,50
2020-04-18,Senegal,16687100,,350,3,211,1,136
2020-04-18,Bosnia and Herzegovina,3283087,16868,1268,47,338,4,883
2020-04-18,Bulgaria,6954222,26417,878,41,153,35,684
2020-04-18,Croatia,4108081,21647,1832,39,615,27,1178
2020-04-18,Ivory Coast,26294743,,801,8,239,,554
2020-04-18,Guatemala,17874358,7200,235,7,21,3,207
2020-04-18,Cuba,11327404,25309,986,32,227,15,727
2020-04-18,North Macedonia,2083384,11556,1170,49,164,15,957
2020-04-18,Iceland,340982,41091,1760,9,1291,3,460
2020-04-18,Estonia,1326433,39605,1512,38,162,11,1312
2020-04-18,Tajikistan,9510530,,,,,,
2020-04-18,Lithuania,2726360,58816,1239,33,228,14,978
2020-04-18,DRC,89204344,,307,25,26,,256
2020-04-18,Djibouti,986245,7486,732,2,76,,654
2020-04-18,New Zealand,4817585,79078,1422,11,867,3,544
2020-04-18,Slovakia,5459339,40953,1089,11,213,10,865
2020-04-18,Slovenia,2078905,40580,1317,70,190,27,1057
2020-04-18,Somalia,15835721,,135,7,2,2,126
2020-04-18,Gabon,2219053,572,108,1,7,,100
2020-04-18,El Salvador,6482375,10191,190,7,43,1,140
2020-04-18,Mayotte,271976,1800,254,4,117,6,133
2020-04-18,Kyrgyzstan,6510930,26147,506,5,130,5,371
2020-04-18,Maldives,539365,3714,35,,16,,19
2020-04-18,Hong Kong,7489763,131786,1024,4,568,9,452
2020-04-18,Tunisia,11803787,14640,866,37,43,33,786
2020-04-18,Guinea-Bissau,1962083,1500,46,,,,46
2020-04-18,Latvia,1888464,34697,712,5,88,5,619
2020-04-18,Sri Lanka,21402783,4768,254,7,86,1,161
2020-04-18,Albania,2878155,5311,548,26,302,5,220
2020-04-18,Lebanon,6828869,20225,672,21,99,30,552
2020-04-18,Cyprus,1206320,32284,761,12,79,8,670
2020-04-18,Kenya,53621669,10784,262,12,60,2,190
2020-04-18,Niger,24088734,4715,639,19,113,,507
2020-04-18,Mali,20174887,,216,13,41,,162
2020-04-18,Costa Rica,5088572,10138,655,4,97,10,554
2020-04-18,Burkina Faso,20829100,,565,36,321,,208
2020-04-18,Paraguay,7121943,4950,202,8,35,1,159
2020-04-18,Andorra,77251,1673,704,35,205,17,464
2020-04-18,Zambia,18317156,2191,57,2,33,1,22
2020-04-18,Uruguay,3472331,12478,517,9,298,14,210
2020-04-18,Equatorial Guinea,1396874,854,79,,4,,75
2020-04-18,Georgia,3990035,5027,388,4,86,6,298
2020-04-18,San Marino,33923,1605,455,39,60,15,356
2020-04-18,Jordan,10191015,20500,413,7,269,5,137
2020-04-18,Venezuela,28445034,299714,227,9,117,4,101
2020-04-18,Malta,441407,23253,426,3,99,4,324
2020-04-18,Channel Islands,173672,3320,484,21,73,,390
2020-04-18,Haiti,11385726,498,44,3,,,41
2020-04-18,Jamaica,2959659,1516,163,5,25,,133
2020-04-18,Chad,16364523,,33,,8,,25
2020-04-18,Sierra Leone,7956645,,30,,,,30
2020-04-18,Tanzania,59512999,,147,5,11,4,131
2020-04-18,Réunion,894557,,407,,237,4,170
2020-04-18,Taiwan,23811805,52445,398,6,178,,214
2020-04-18,Congo,5500730,,143,6,11,,126
2020-04-18,Palestine,5086351,17329,418,2,69,,347
2020-04-18,Nepal,29071791,15800,31,,3,,28
2020-04-18,Ethiopia,114599417,6890,105,3,16,1,86
2020-04-18,Benin,12082333,,35,1,18,,16
2020-04-18,Isle of Man,84980,2414,297,6,180,11,111
2020-04-18,Mauritius,1271525,9755,325,9,180,3,136
2020-04-18,Togo,8254058,4191,84,5,49,,30
2020-04-18,Cabo Verde,555261,,58,1,1,,56
2020-04-18,CAR,4819377,,12,,4,,8
2020-04-18,Montenegro,628057,3874,307,5,55,7,247
2020-04-18,Vietnam,97234232,206253,268,,201,8,67
2020-04-18,Madagascar,27599599,2357,120,,35,1,85
2020-04-18,Rwanda,12911155,6237,144,,69,,75
2020-04-18,South Sudan,11177895,,4,,,,4
2020-04-18,Uganda,45550580,11101,55,,22,,33
2020-04-18,Sao Tome and Principe,218653,19,4,,,,4
2020-04-18,Liberia,5042565,,76,7,7,,62
2020-04-18,French Guiana,297687,,96,,64,2,32
2020-04-18,Eswatini,1158724,714,22,1,8,,13
2020-04-18,Martinique,375298,,163,12,73,11,78
2020-04-18,Myanmar,54366792,4065,98,5,5,,88
2020-04-18,Faeroe Islands,48841,5981,184,,173,,11
2020-04-18,Guadeloupe,400116,,148,8,73,13,67
2020-04-18,Gibraltar,33692,1859,132,,111,1,21
2020-04-18,Mozambique,31141818,952,35,,4,,31
2020-04-18,Brunei,436979,11254,137,1,113,2,23
2020-04-18,Mongolia,3271795,1450,31,,5,,26
2020-04-18,Yemen,29742981,,1,,,,1
2020-04-18,Bermuda,62304,552,83,5,35,9,43
2020-04-18,Guyana,786108,283,63,6,9,4,48
2020-04-18,Cambodia,16690788,5768,122,,103,1,19
2020-04-18,Trinidad and Tobago,1398962,1320,114,8,21,,85
2020-04-18,Aruba,106713,1358,96,2,44,4,50
2020-04-18,Monaco,39209,,94,3,22,3,69
2020-04-18,Bahamas,392795,,55,9,10,1,36
2020-04-18,Cayman Islands,65629,702,61,1,7,3,53
2020-04-18,Barbados,287335,1000,75,5,17,4,53
2020-04-18,Liechtenstein,38115,900,79,1,55,,23
2020-04-18,Mauritania,4633922,913,7,1,6,,0
2020-04-18,Sint Maarten,42817,163,64,9,12,6,43
2020-04-18,Malawi,19066433,417,17,2,3,1,12
2020-04-18,Libya,6859926,707,49,1,11,,37
2020-04-18,French Polynesia,280717,1302,55,,2,1,53
2020-04-18,Syria,17446406,,38,2,5,,31
2020-04-18,Angola,32731783,,24,2,6,,16
2020-04-18,Zimbabwe,14836491,2626,25,3,2,,20
2020-04-18,Macao,648258,,45,,16,1,29
2020-04-18,Burundi,11844472,80,5,1,,,4
2020-04-18,Saint Martin,38585,,37,2,19,5,16
2020-04-18,Eritrea,3540444,,39,,3,,36
2020-04-18,Nicaragua,6615040,,9,2,6,,1
2020-04-18,Antigua and Barbuda,97833,73,23,3,3,1,17
2020-04-18,Botswana,2345678,3602,15,1,,,14
2020-04-18,Gambia,2407856,316,9,1,2,,6
2020-04-18,Timor-Leste,1315315,,18,,1,,17
2020-04-18,Grenada,112462,92,14,,6,4,8
2020-04-18,Bhutan,770586,8107,5,,2,,3
2020-04-18,Laos,7262665,1318,19,,2,,17
2020-04-18,Belize,396732,651,18,2,,1,16
2020-04-18,Fiji,895677,,17,,,,17
2020-04-18,New Caledonia,285170,3399,18,,14,1,4
2020-04-18,Saint Lucia,183529,344,15,,11,,4
2020-04-18,St. Vincent Grenadines,110899,87,12,,1,,11
2020-04-18,Curaçao,164015,286,14,1,11,,2
2020-04-18,Dominica,71965,345,16,,8,,8
2020-04-18,Namibia,2535193,499,16,,6,,10
2020-04-18,Saint Kitts and Nevis,53155,234,14,,,,14
2020-04-18,Falkland Islands,3467,319,11,,3,,8
2020-04-18,Turks and Caicos,38653,83,11,1,,,10
2020-04-18,Vatican City,801,,8,,2,,6
2020-04-18,Comoros,867268,,,,,,
2020-04-18,Montserrat,4992,36,11,,2,1,9
2020-04-18,Suriname,586006,,10,1,6,,3
2020-04-18,Greenland,56759,1043,11,,11,,0
2020-04-18,Seychelles,98275,,11,,5,,6
2020-04-18,British Virgin Islands,30207,,4,,2,,2
2020-04-18,Papua New Guinea,8925907,167,7,,,,7
2020-04-18,Caribbean Netherlands,26194,10,3,,,,3
2020-04-18,St. Barth,9874,,6,,5,,1
2020-04-18,Western Sahara,595462,,6,,,,6
2020-04-18,Anguilla,14987,,3,,1,,2
2020-04-18,Lesotho,2140235,,,,,,
2020-04-18,Saint Pierre Miquelon,5797,,1,,,,1
2020-04-19,USA,330774664,3861549,763832,40553,71003,13566,652276
2020-04-19,Russia,145927292,1940000,42853,361,3291,8,39201
2020-04-19,Spain,46752703,930230,198674,20453,77357,7371,100864
2020-04-19,Brazil,212380932,62985,38654,2462,22130,6634,14062
2020-04-19,UK,67844241,482063,120067,16060,,1559,103663
2020-04-19,Italy,60471924,1356541,178972,23660,47055,2635,108257
2020-04-19,France,65256826,463662,152894,19718,36578,5744,96598
2020-04-19,Germany,83752855,1728357,145742,4642,88000,2889,53100
2020-04-19,Turkey,84230075,634277,86306,2017,11976,1922,72313
2020-04-19,Iran,83862642,341662,82211,5118,57023,3456,20070
2020-04-19,India,1378381772,401586,17615,559,2854,,14202
2020-04-19,Peru,32915899,143745,15628,400,6811,167,8417
2020-04-19,China,1439323776,,82735,4632,77062,85,1041
2020-04-19,Canada,37702769,536062,35056,1587,11843,557,21626
2020-04-19,Saudi Arabia,34747330,180000,9362,97,1398,97,7867
2020-04-19,Belgium,11583739,153778,38496,5683,8757,1081,24056
2020-04-19,Mexico,128770253,49167,7497,650,2627,207,4220
2020-04-19,Chile,19096687,113649,10088,133,4338,360,5617
2020-04-19,Netherlands,17130492,154911,32655,3684,,1176,28721
2020-04-19,Pakistan,220356788,98522,8348,168,1868,46,6312
2020-04-19,Qatar,2875047,62538,5448,8,518,37,4922
2020-04-19,Ecuador,17610231,31809,9468,474,1061,124,7933
2020-04-19,Switzerland,8647139,221263,27740,1393,17800,386,8547
2020-04-19,Belarus,9449678,98231,4779,47,494,65,4238
2020-04-19,Sweden,10091856,74600,14385,1540,550,450,12295
2020-04-19,Portugal,10200063,235878,20206,714,610,224,18882
2020-04-19,Singapore,5844888,94796,6588,11,768,22,5809
2020-04-19,Ireland,4931150,90646,15251,610,77,294,14564
2020-04-19,UAE,9875965,767000,6781,41,1286,1,5454
2020-04-19,Bangladesh,164493041,23941,2456,91,75,1,2290
2020-04-19,Poland,37851327,204246,9287,360,1040,160,7887
2020-04-19,Ukraine,43762985,57111,5449,141,347,45,4961
2020-04-19,Indonesia,273176544,42219,6575,582,686,,5307
2020-04-19,Romania,19251921,93611,8746,451,1892,256,6403
2020-04-19,Israel,8638917,187250,13491,172,3754,146,9565
2020-04-19,South Africa,59218133,114711,3158,54,903,36,2201
2020-04-19,Japan,126520115,112816,10797,236,1159,217,9402
2020-04-19,Colombia,50817787,62746,3792,179,711,98,2902
2020-04-19,Austria,9000366,179243,14749,452,10501,204,3796
2020-04-19,Kuwait,4262847,,1915,7,305,38,1603
2020-04-19,Egypt,102094004,55000,3144,239,732,,2173
2020-04-19,Dominican Republic,10834889,15583,4680,226,363,114,4091
2020-04-19,Philippines,109403890,59928,6259,409,572,1,5278
2020-04-19,S. Korea,51264120,559109,10661,234,8042,55,2385
2020-04-19,Denmark,5789832,94277,7384,355,4141,84,2888
2020-04-19,Serbia,8741321,38701,6318,122,753,120,5443
2020-04-19,Panama,4306425,19091,4273,120,140,96,4013
2020-04-19,Czechia,10706690,168096,6746,186,1298,84,5262
2020-04-19,Argentina,45146322,32712,2941,134,709,123,2098
2020-04-19,Norway,5416217,142166,7078,165,32,58,6881
2020-04-19,Algeria,43752773,6500,2629,375,1047,40,1207
2020-04-19,Bahrain,1693667,85126,1881,7,759,2,1115
2020-04-19,Afghanistan,38817349,6422,996,33,131,7,832
2020-04-19,Australia,25464216,420996,6612,71,4230,48,2311
2020-04-19,Morocco,36857758,15123,2855,141,327,1,2387
2020-04-19,Malaysia,32315733,103892,5389,89,3197,46,2103
2020-04-19,Kazakhstan,18749587,100878,1676,17,400,22,1259
2020-04-19,Finland,5539729,57300,3783,94,1700,68,1989
2020-04-19,Nigeria,205486161,7153,627,21,170,2,436
2020-04-19,Moldova,4035024,10488,2472,67,457,80,1948
2020-04-19,Ghana,30991423,68591,1042,9,99,4,934
2020-04-19,Oman,5089968,,1266,7,233,3,1026
2020-04-19,Armenia,2962604,12680,1291,20,545,30,726
2020-04-19,Bolivia,11653648,3569,520,32,31,3,457
2020-04-19,Luxembourg,624724,33666,3550,73,627,31,2850
2020-04-19,Iraq,40108260,56147,1539,82,1009,,448
2020-04-19,Hungary,9663123,46353,1916,189,250,61,1477
2020-04-19,Cameroon,26461313,,1017,42,305,33,670
2020-04-19,Azerbaijan,10128288,95747,1398,19,712,21,667
2020-04-19,Thailand,69779718,100498,2765,47,1928,61,790
2020-04-19,Greece,10428746,53290,2235,113,269,67,1853
2020-04-19,Guinea,13086759,,579,5,87,,487
2020-04-19,Uzbekistan,33409960,136000,1565,5,225,8,1335
2020-04-19,Honduras,9885245,2535,472,46,15,10,411
2020-04-19,Sudan,43719159,,66,10,6,,50
2020-04-19,Senegal,16687100,,367,3,220,1,144
2020-04-19,Bosnia and Herzegovina,3283087,17818,1285,48,347,4,890
2020-04-19,Bulgaria,6954222,26417,894,42,161,36,691
2020-04-19,Croatia,4108081,24186,1871,47,709,23,1115
2020-04-19,Ivory Coast,26294743,,847,9,260,,578
2020-04-19,Guatemala,17874358,7200,257,7,21,3,229
2020-04-19,Cuba,11327404,26982,1035,34,255,16,746
2020-04-19,North Macedonia,2083384,11870,1207,51,179,15,977
2020-04-19,Iceland,340982,41091,1771,9,1291,3,471
2020-04-19,Estonia,1326433,40333,1528,40,164,10,1324
2020-04-19,Tajikistan,9510530,,,,,,
2020-04-19,Lithuania,2726360,64035,1298,35,242,14,1021
2020-04-19,DRC,89204344,,327,25,26,,276
2020-04-19,Djibouti,986245,8144,846,2,102,,742
2020-04-19,New Zealand,4817585,83224,1431,12,912,18,507
2020-04-19,Slovakia,5459339,44278,1161,12,229,10,920
2020-04-19,Slovenia,2078905,41265,1330,74,192,26,1064
2020-04-19,Somalia,15835721,,164,7,3,2,154
2020-04-19,Gabon,2219053,572,109,1,7,,101
2020-04-19,El Salvador,6482375,11160,201,7,44,1,150
2020-04-19,Mayotte,271976,1850,271,4,117,5,150
2020-04-19,Kyrgyzstan,6510930,26147,554,5,133,5,416
2020-04-19,Maldives,539365,3714,52,,16,,36
2020-04-19,Hong Kong,7489763,131786,1026,4,602,8,420
2020-04-19,Tunisia,11803787,16098,879,38,43,33,798
2020-04-19,Guinea-Bissau,1962083,1500,50,,3,,47
2020-04-19,Latvia,1888464,35881,727,5,88,5,634
2020-04-19,Sri Lanka,21402783,6463,271,7,96,1,168
2020-04-19,Albania,2878155,5542,562,26,314,5,222
2020-04-19,Lebanon,6828869,20929,673,21,102,27,550
2020-04-19,Cyprus,1206320,34087,767,12,81,15,674
2020-04-19,Kenya,53621669,13239,270,14,67,2,189
2020-04-19,Niger,24088734,4715,648,20,117,,511
2020-04-19,Mali,20174887,,224,14,42,,168
2020-04-19,Costa Rica,5088572,10417,660,5,112,10,543
2020-04-19,Burkina Faso,20829100,,576,36,338,,202
2020-04-19,Paraguay,7121943,4950,206,8,41,1,157
2020-04-19,Andorra,77251,1673,713,36,235,17,442
2020-04-19,Zambia,18317156,2586,61,3,33,1,25
2020-04-19,Uruguay,3472331,13207,517,10,298,14,209
2020-04-19,Equatorial Guinea,1396874,854,79,,4,,75
2020-04-19,Georgia,3990035,5027,394,4,93,6,297
2020-04-19,San Marino,33923,1711,461,39,60,4,362
2020-04-19,Jordan,10191015,29000,417,7,276,5,134
2020-04-19,Venezuela,28445034,299714,256,9,117,4,130
2020-04-19,Malta,441407,23253,427,3,118,2,306
2020-04-19,Channel Islands,173672,3320,488,21,73,,394
2020-04-19,Haiti,11385726,498,47,3,,,44
2020-04-19,Jamaica,2959659,1605,173,5,27,,141
2020-04-19,Chad,16364523,,33,,8,,25
2020-04-19,Sierra Leone,7956645,,35,,6,,29
2020-04-19,Tanzania,59512999,,170,7,11,4,152
2020-04-19,Réunion,894557,,408,,237,4,171
2020-04-19,Taiwan,23811805,53005,420,6,189,,225
2020-04-19,Congo,5500730,,143,6,11,,126
2020-04-19,Palestine,5086351,17329,439,3,71,,365
2020-04-19,Nepal,29071791,29567,31,,4,,27
2020-04-19,Ethiopia,114599417,7557,108,3,16,1,89
2020-04-19,Benin,12082333,,35,1,18,,16
2020-04-19,Isle of Man,84980,2465,298,6,193,10,99
2020-04-19,Mauritius,1271525,9755,328,9,208,3,111
2020-04-19,Togo,8254058,4295,84,5,52,,27
2020-04-19,Cabo Verde,555261,,61,1,1,,59
2020-04-19,CAR,4819377,,12,,4,,8
2020-04-19,Montenegro,628057,3874,308,5,55,7,248
2020-04-19,Vietnam,97234232,206253,268,,202,8,66
2020-04-19,Madagascar,27599599,2357,121,,39,1,82
2020-04-19,Rwanda,12911155,6959,147,,76,,71
2020-04-19,South Sudan,11177895,,4,,,,4
2020-04-19,Uganda,45550580,11101,55,,28,,27
2020-04-19,Sao Tome and Principe,218653,19,4,,,,4
2020-04-19,Liberia,5042565,,91,8,7,,76
2020-04-19,French Guiana,297687,,96,,64,2,32
2020-04-19,Eswatini,1158724,714,22,1,8,,13
2020-04-19,Martinique,375298,,163,12,73,11,78
2020-04-19,Myanmar,54366792,4605,111,5,7,,99
2020-04-19,Faeroe Islands,48841,6021,185,,176,,9
2020-04-19,Guadeloupe,400116,,148,8,73,13,67
2020-04-19,Gibraltar,33692,1912,132,,120,1,12
2020-04-19,Mozambique,31141818,1037,39,,8,,31
2020-04-19,Brunei,436979,11472,138,1,115,2,22
2020-04-19,Mongolia,3271795,1554,32,,7,,25
2020-04-19,Yemen,29742981,,1,,,,1
2020-04-19,Bermuda,62304,638,86,5,35,10,46
2020-04-19,Guyana,786108,322,65,7,9,4,49
2020-04-19,Cambodia,16690788,5768,122,,105,1,17
2020-04-19,Trinidad and Tobago,1398962,1335,114,8,21,,85
2020-04-19,Aruba,106713,1442,97,2,49,4,46
2020-04-19,Monaco,39209,,94,3,22,3,69
2020-04-19,Bahamas,392795,,60,9,11,1,40
2020-04-19,Cayman Islands,65629,702,61,1,7,3,53
2020-04-19,Barbados,287335,1000,75,5,17,4,53
2020-04-19,Liechtenstein,38115,900,81,1,55,,25
2020-04-19,Mauritania,4633922,913,7,1,6,,0
2020-04-19,Sint Maarten,42817,163,67,10,12,6,45
2020-04-19,Malawi,19066433,429,17,2,3,1,12
2020-04-19,Libya,6859926,725,51,1,11,,39
2020-04-19,French Polynesia,280717,1302,55,,2,1,53
2020-04-19,Syria,17446406,,39,3,5,,31
2020-04-19,Angola,32731783,,24,2,6,,16
2020-04-19,Zimbabwe,14836491,2851,25,3,2,,20
2020-04-19,Macao,648258,,45,,17,1,28
2020-04-19,Burundi,11844472,80,5,1,,,4
2020-04-19,Saint Martin,38585,,37,2,19,5,16
2020-04-19,Eritrea,3540444,,39,,3,,36
2020-04-19,Nicaragua,6615040,,10,2,6,,2
2020-04-19,Antigua and Barbuda,97833,73,23,3,3,1,17
2020-04-19,Botswana,2345678,4432,20,1,,,19
2020-04-19,Gambia,2407856,316,10,1,2,,7
2020-04-19,Timor-Leste,1315315,,19,,1,,18
2020-04-19,Grenada,112462,92,14,,6,4,8
2020-04-19,Bhutan,770586,8107,5,,2,,3
2020-04-19,Laos,7262665,1333,19,,2,,17
2020-04-19,Belize,396732,651,18,2,2,1,14
2020-04-19,Fiji,895677,,17,,,,17
2020-04-19,New Caledonia,285170,3399,18,,15,1,3
2020-04-19,Saint Lucia,183529,344,15,,11,,4
2020-04-19,St. Vincent Grenadines,110899,87,12,,1,,11
2020-04-19,Curaçao,164015,286,14,1,11,,2
2020-04-19,Dominica,71965,345,16,,8,,8
2020-04-19,Namibia,2535193,524,16,,6,,10
2020-04-19,Saint Kitts and Nevis,53155,234,14,,,,14
2020-04-19,Falkland Islands,3467,319,11,,3,,8
2020-04-19,Turks and Caicos,38653,83,11,1,,,10
2020-04-19,Vatican City,801,,8,,2,,6
2020-04-19,Comoros,867268,,,,,,
2020-04-19,Montserrat,4992,36,11,,2,1,9
2020-04-19,Suriname,586006,,10,1,6,,3
2020-04-19,Greenland,56759,1043,11,,11,,0
2020-04-19,Seychelles,98275,,11,,5,,6
2020-04-19,British Virgin Islands,30207,,4,1,2,,1
2020-04-19,Papua New Guinea,8925907,167,7,,,,7
2020-04-19,Caribbean Netherlands,26194,110,5,,,,5
2020-04-19,St. Barth,9874,,6,,5,,1
2020-04-19,Western Sahara,595462,,6,,,,6
2020-04-19,Anguilla,14987,,3,,1,,2
2020-04-19,Lesotho,2140235,,,,,,
2020-04-19,Saint Pierre Miquelon,5797,,1,,,,1
2020-04-20,USA,330774664,4026360,792759,42514,72389,13951,677856
2020-04-20,Russia,145927292,2053319,47121,405,3446,700,43270
2020-04-20,Spain,46752703,930230,200210,20852,80587,7371,98771
2020-04-20,Brazil,212380932,291922,40743,2587,22130,7919,16026
2020-04-20,UK,67844241,501379,124743,16509,,1559,107890
2020-04-20,Italy,60471924,1398024,181228,24114,48877,2573,108237
2020-04-20,France,65256826,463662,155383,20265,37409,5683,97709
2020-04-20,Germany,83752855,1728357,147065,4862,91500,2889,50703
2020-04-20,Turkey,84230075,673980,90980,2140,13430,1909,75410
2020-04-20,Iran,83862642,353012,83505,5209,59273,3389,19023
2020-04-20,India,1378381772,401586,18539,592,3273,,14674
2020-04-20,Peru,32915899,148011,16325,445,6968,385,8912
2020-04-20,China,1439323776,,82747,4632,77084,81,1031
2020-04-20,Canada,37702769,559578,36829,1690,12586,557,22553
2020-04-20,Saudi Arabia,34747330,180000,10484,103,1490,88,8891
2020-04-20,Belgium,11583739,161896,39983,5828,8895,1071,25260
2020-04-20,Mexico,128770253,49570,8261,686,2627,207,4948
2020-04-20,Chile,19096687,118827,10507,139,4676,377,5692
2020-04-20,Netherlands,17130492,171415,33405,3751,,1158,29404
2020-04-20,Pakistan,220356788,104302,8892,176,1970,46,6746
2020-04-20,Qatar,2875047,64620,6015,9,555,37,5451
2020-04-20,Ecuador,17610231,32453,10128,507,1150,124,8471
2020-04-20,Switzerland,8647139,224442,27944,1429,18600,386,7915
2020-04-20,Belarus,9449678,102556,6264,51,514,92,5699
2020-04-20,Sweden,10091856,74600,14777,1580,550,521,12647
2020-04-20,Portugal,10200063,235878,20863,735,610,215,19518
2020-04-20,Singapore,5844888,94796,8014,11,801,23,7202
2020-04-20,Ireland,4931150,90646,15652,687,77,294,14888
2020-04-20,UAE,9875965,790000,7265,43,1360,1,5862
2020-04-20,Bangladesh,164493041,26604,2948,101,85,1,2762
2020-04-20,Poland,37851327,214236,9593,380,1133,160,8080
2020-04-20,Ukraine,43762985,58093,5710,151,359,45,5200
2020-04-20,Indonesia,273176544,43749,6760,590,747,,5423
2020-04-20,Romania,19251921,98491,8936,478,2017,261,6441
2020-04-20,Israel,8638917,240303,13713,177,4049,149,9487
2020-04-20,South Africa,59218133,121510,3300,58,1055,36,2187
2020-04-20,Japan,126520115,116725,11135,263,1239,217,9633
2020-04-20,Colombia,50817787,62746,3977,189,804,98,2984
2020-04-20,Austria,9000366,182949,14795,470,10631,194,3694
2020-04-20,Kuwait,4262847,,1995,9,367,39,1619
2020-04-20,Egypt,102094004,55000,3333,250,821,,2262
2020-04-20,Dominican Republic,10834889,57809,4964,235,416,128,4313
2020-04-20,Philippines,109403890,59928,6459,428,613,1,5418
2020-04-20,S. Korea,51264120,563035,10674,236,8114,55,2324
